,City,Count
869,chandler,35
934,childersburg,35
4871,sierra vista,35
1328,derby,35
2397,hope mills,35
1371,dothan,35
3117,mankato,35
3762,north las vegas,35
1222,cupertino,35
1818,foster city,35
2305,hiawatha,35
2236,hattiesburg,35
3506,mt. pleasant,35
2752,laguna hills,35
5541,villanova,35
4580,rutherford,35
2669,kingman,35
2487,infrontofmycomputer,35
4392,redlands,35
918,chesterland,35
4596,saco,34
1810,fort walton beach,34
4298,prior lake,34
6019,zephyrhills,34
1646,euclid,34
2174,halfway down the stairs,34
5674,wbl,34
5454,university city,34
5807,wheaton,34
1141,cortlandt manor,34
3978,pacifica,34
2655,kill devil hills,34
5944,woodland hills,34
4211,pomona,34
5698,wenonah,34
1715,farmington,34
5540,villa ridge,34
4802,severna park,34
5631,washington dc,33
4523,ronald,33
4518,rome,33
4855,shoreline,33
125,anderson,33
999,cleveland heights,33
5711,west bloomfield,33
5627,washington court house,33
4644,san bruno,33
2629,kennewick,33
5108,stanford,33
1564,elkridge,33
1049,college park,33
1536,el paso,33
4895,sioux city,33
1541,eldersburg,33
849,central,33
4620,saint michael,33
4672,sand springs,33
5716,west chicago,32
299,basye,32
1728,ferndale,32
555,boydton,32
1968,gilchrist,32
564,braidwood,32
5949,woodridge,32
4605,sagle,32
4367,rawlins,32
3760,north judson,32
3570,nampa,32
3516,mukilteo,32
3138,marcellus,32
4183,pleasant hill,32
44,alamosa,32
4301,prospect,32
3246,melrose,32
4501,rockwall,32
5119,state college,32
72,alhambra,32
789,cartersville,32
847,centerport,32
2034,gordon,32
684,bush,32
1366,doniphan,32
4078,pembroke pines,31
3595,naugatuck,31
2278,hemet,31
4115,phila,31
4219,pooler,31
5127,steamboat springs,31
5941,woodinville,31
5007,spanaway,31
4600,safety harbor,31
3733,north augusta,31
5609,ward,31
4361,ransomville,31
393,bend,31
3650,new market,31
5934,woodbine,31
4615,saint james city,31
1805,fort smith,31
2496,inverness,31
4767,seaford,31
3325,millersville,31
938,chimacum,31
2935,lindstrom,31
25,adelphi,31
2907,liberty,31
5879,willowick,31
2853,layton,31
1531,el centro,31
917,chesterfield,31
964,citrus springs,31
5667,wayland,30
4394,redondo beach,30
2313,high point,30
3312,midwest city,30
147,anytown,30
5295,temple hills,30
322,baytown,30
3288,miami beach,30
5785,westford,30
155,apopka,30
4457,rising sun,30
3805,northville,30
1663,everton,30
3267,meridian,30
6002,youngstown,30
5502,van nuys,30
4047,pass christian,30
5218,sunrise,30
2781,lake placid,30
3397,montague,30
4311,pt.pleasant,30
4317,punta gorda,30
4845,sherwood,30
1545,eliot,30
3334,milo,30
1660,evergreen,29
1255,darnestown,29
1474,east moline,29
2268,hebron,29
100,alton,29
1498,eau claire,29
1540,elburn,29
1373,douglas,29
2767,lake geneva,29
3256,menlo park,29
2699,knox,29
5864,williamsville,29
2033,goose creek,29
4063,peachtree city,29
3999,palmer,29
1226,cypress,29
1645,etters,29
5950,woodruff,29
330,bear,29
3016,los osos,29
2320,highland park,29
2458,idaho falls,29
4212,pompano beach,29
971,claremont,29
2434,hummelstown,29
5787,westlake,29
2454,hyattsville,29
384,beloit,28
1110,coos bay,28
5362,tomball,28
3004,lorain,28
1051,collegedale,28
4891,simsbury,28
2180,hamburg,28
2952,little falls,28
4300,proctor,28
855,centralia,28
5722,west covina,28
341,bedford,28
3032,lowell,28
5612,warminster,28
2556,johnson city,28
1674,fair lawn,28
3908,ontario,28
403,bentonville,28
792,carver,28
5527,versailles,28
2078,grayslake,28
2867,lee`s summit,28
2582,kalispell,28
5417,turlock,28
5724,west dover,28
5917,winter springs,28
3637,new freedom,28
153,apo ae,28
4954,south burlington,28
1274,dearborn,28
2443,huntingtown,28
3356,mishawaka,28
617,broken arrow,28
5798,wethersfield,28
996,clermont,28
3330,milltown,28
5493,valley springs,28
3444,morton grove,28
5192,suisun city,28
3464,mount kisco,28
2361,hollister,28
2357,holland,28
5254,taft,27
673,burleson,27
3846,oakley,27
1137,corry,27
3282,metairie,27
2092,green cove springs,27
410,berkley,27
2611,kekaha,27
4122,picayune,27
1870,ft lewis,27
3331,millville,27
3147,marina del rey,27
4736,schaumburg,27
3625,new boston,27
3988,palatine,27
4482,rochester hills,27
3834,oak harbor,27
522,bonita springs,27
1506,eden valley,27
2735,labelle,27
1009,climax springs,27
606,bristow,27
4904,skowhegan,27
4252,portales,27
2681,kirby,27
3319,mill valley,27
78,allendale,27
2127,grosse pointe farms,27
3685,newcastle,27
4170,plainwell,26
679,burnsville,26
2960,littlestown,26
4151,piscataway,26
1880,ft. lauderdale,26
3121,manorville,26
1106,cooper city,26
2618,kempner,26
2498,iolai,26
4935,socorro,26
5385,trenton,26
2015,goffstown,26
5891,wimberley,26
2060,granity city,26
940,chino hills,26
1054,collierville,26
4475,robbinsville,26
3178,massillon,26
441,billerica,26
2374,homer,26
43,alamogordo,26
5704,west allis,26
240,azusa,26
4449,ringoes,26
183,artesia,26
5804,wharton,26
4869,sidney,26
530,boonton,25
303,bath,25
5235,swarthmore,25
3493,mt prospect,25
5063,st. charles county,25
5676,weatherford,25
4358,rancho santa margarita,25
3002,loomis,25
17,acworth,25
295,bartow,25
2807,landenberg,25
4629,salinas,25
2701,kokomo,25
1944,gaylord,25
3392,monroeville,25
164,aransas pass,25
3015,los gatos,25
5576,waipah,25
4511,rohnert park,25
5145,stilwell,25
5284,tecumseh,25
477,block island,25
3159,marrero,25
1701,fallbrook,25
675,burlingame,25
5649,watkins glen,25
1539,elbridge,25
5863,williamstown,25
1881,ft. meade,25
1475,east northport,25
338,beavercreek,25
184,arvada,25
124,ancramdale,25
3119,manning,25
1861,fruit cove,24
1150,cottge grove,24
5022,spirit lake,24
1904,galena,24
1570,ellicott city,24
4148,pinson,24
3384,monessen,24
819,caulfield,24
1401,dudley,24
1493,easton,24
5975,wyndmoor,24
1515,edjewater park,24
2519,itasca,24
4505,rocky mount,24
423,bethesda,24
3680,newberry,24
660,budd lake,24
2562,jonesborough,24
4453,rio vista,24
3870,odenton,24
2081,great barrington,24
2573,jupiter,24
2265,heath,24
4421,rhinelander,24
3627,new brighton,24
2348,hoboken,24
4067,pearland,24
3567,nacogdoches,24
3003,lopez island,24
5618,warrenville,24
4027,park forest,24
5401,trumbull,24
524,bonners ferry,24
3220,mckeesport,23
4077,pembroke,23
5914,winter harbor,23
5122,statesville,23
4079,penacook,23
2834,lathrop,23
5500,van buren,23
2534,jamestown,23
1188,crestview,23
342,beebeetown,23
2124,grinnell,23
1846,freeland,23
3388,monmouth junction,23
2329,hilliard,23
3029,lovelock,23
4214,ponca city,23
5377,towson,23
5538,villa park,23
612,brockport,23
848,centerville,23
5059,st. ann,23
5101,stacy,23
213,aubrey,23
1600,emmetsburg,23
1417,dunlap,23
4759,scottsburg,23
4961,south euclid,23
5640,waterbury,23
4980,south portland,23
4495,rocklin,23
1544,elgin,23
4554,roy,23
5682,webster groves,23
5985,yankton,23
2570,junction city,22
572,branson,22
1628,escalon,22
2242,haverhill,22
632,brooksville,22
1140,cortland,22
5955,woodville,22
4103,petal,22
3884,okmulgee,22
3240,medina,22
2116,greer,22
993,clemmons,22
1275,dearborn heights,22
1030,cocoa,22
2285,hephzibah,22
5521,vermilion,22
3690,newington,22
3086,mahtomedi,22
3992,palm beach gardens,22
3157,marmora,22
3712,nisswa,22
2215,harrison township,22
3890,oldtown,22
2883,lennon,22
5766,west salem,22
1472,east liverpool,22
2177,hallandale beach,22
915,chester,22
3218,mchenry,22
365,belle plaine,22
1260,davidson,22
5427,tuttle,22
375,bellmawr,22
497,blue ridge summit,22
2228,harwich,22
5450,union grove,22
5655,waukee,22
2785,lake st. louis,22
507,boca raton,22
4247,port st. lucie,22
1847,freeport,22
5345,tilton,21
2250,hayden,21
874,chanute,21
5513,vashon island,21
1194,crofton,21
1988,glen gardner,21
3021,loudoun county,21
2241,havelock,21
411,berlin,21
1741,flagstaff,21
1056,collingswood,21
1631,esko,21
3050,lutz,21
5067,st. cloud,21
313,bay point,21
3698,newtown,21
5210,sun valley,21
3236,medfield,21
3298,middleburg heights,21
1257,dartmouth,21
2090,greeley,21
920,chestertown,21
2822,laporte,21
4271,powder springs,21
3798,northern,21
2332,hillsborough,21
3130,maple lake,21
2424,huber heights,21
5594,walled lake,21
4254,portersville,21
2099,greenbelt,21
3226,mcminnville,21
5920,winthrop,21
3611,neosho,21
2336,hilo,21
607,broad channel,21
5775,westborough,21
4314,puget sound,21
4182,pleasant grove,21
4831,shelby township,21
5788,westlake village,21
2747,lafayette hill,21
5695,wenatchee,20
2398,hopewell,20
2175,halifax,20
4999,southern pines,20
3273,merrifield,20
4238,port orca,20
2885,lenoir city,20
1162,coventry,20
1293,del rio,20
5352,titusville,20
4892,sinai,20
5568,wadsworth,20
3838,oak ridge,20
983,clarksdale,20
4671,sand lake,20
1927,gardner,20
5814,white bear township,20
1203,crownsville,20
5496,valley village,20
4322,putney,20
3223,mclean,20
3101,manahawkin,20
2722,la habra,20
235,avondale,20
4730,sayville,20
2780,lake park,20
2295,herndon,20
4343,ragley,20
2436,hunt valley,20
5668,wayne,20
2450,hurst,20
2486,industry,20
6016,zeeland,20
10,abiquiu,20
4951,sorrento,20
5423,tuscola,20
1461,east greenbush,20
3572,nanty glo,19
2855,laytonville,19
195,aston,19
1167,cozad,19
859,cerritos,19
542,boulder junction,19
5789,westland,19
2230,haslett,19
3800,northfield,19
3375,mohawk,19
257,baldwin,19
1358,dixon,19
4138,pine knoll shores,19
3533,murrieta,19
1101,conyers,19
716,camden,19
4506,rocky river,19
1795,fort mitchell,19
5876,willow springs,19
4940,solon,19
4770,seaside,19
4698,santa rosa beach,19
2170,haleiwa,19
2404,hoquiam,19
3764,north liberty,19
2433,humble,19
3740,north brunswick,19
5384,trempealeau,19
3657,new paris,19
2760,lake city,19
4791,selma,19
1231,daggett,19
2042,graham,19
1919,garden city,19
5882,wilmette,19
3350,minoa,19
5392,trinity center,19
3743,north charleston,19
3261,mequon,19
4246,port st. john,19
3477,mountain city,19
655,buckhannon,18
705,calexico,18
5159,stow,18
4640,san anselmo,18
2338,hilton head island,18
2193,hanford,18
1261,davie,18
4442,ridgewood,18
3723,norcross,18
5238,sweet home,18
4261,potomac falls,18
2567,joppa,18
4711,satellite beach,18
3131,maple park,18
2624,kennebunk,18
3729,norristown,18
2151,gurnee,18
1527,eielson afb,18
4933,so. chicago heights,18
4971,south lyon,18
5301,tenino,18
2503,irmo,18
948,christiansburg,18
4777,sebring,18
4779,secaucus,18
2244,havre de grace,18
234,avon lake,18
1756,flushing,18
4522,romulus,18
778,carol stream,18
4844,sherrills ford,18
3818,novi,18
2977,logandale,18
2698,knotts island,18
1517,edmonds,18
2393,hootentown,18
4623,saint peters,18
5374,torrington,18
2355,holden,18
2720,la grange,18
1972,gilroy,18
1019,clyde,18
3061,lyons,18
718,cameron,18
4026,park city,18
5026,spotsylvania,18
1991,glen rose,18
1877,ft. collins,18
2985,london,17
5858,williams bay,17
1343,dexter,17
3386,monmouth,17
3911,ooltewah,17
5225,sussex,17
137,annandale,17
672,burke,17
98,altamonte spring,17
3163,marshall,17
1302,delmar,17
4293,princess anne,17
6003,youngsville,17
2964,livermore falls,17
88,alpahretta,17
2951,little elm,17
1015,clive,17
4547,round lake park,17
4856,shoreview,17
4765,seabrook,17
3704,nickerson,17
5424,tuscon,17
4030,park ridge,17
3046,lumberton,17
1315,denham springs,17
4761,scranton,17
3126,manville,17
1668,exeter,17
356,belfry,17
575,brazil,17
4209,pomfret,17
3761,north kingstown,17
2593,kapolei,17
3592,national city,17
3476,mountain brook,17
831,cedar hill,17
3873,ofallon,17
1183,cressona,17
5070,st. george,17
4002,palmyra,17
5964,wray,17
984,clarkston,17
973,clarendon,17
1821,fountain hills,17
949,christmas,16
57,albuqerque,16
1505,eden prairie,16
3278,merryville,16
3778,north richland hills,16
2535,jamesville,16
2178,hallowell,16
3823,nunnelly,16
3825,ny,16
2442,huntington woods,16
1488,east windsor,16
1597,emeryville,16
1588,elmwood park,16
4235,port murray,16
314,bay shore,16
2245,haward,16
3009,los alamos,16
1652,eustis,16
4341,radford,16
20,addison,16
2782,lake ridge,16
4127,pierre,16
569,branchville,16
4340,radcliff,16
4229,port huron,16
1130,cornwall,16
558,bozeman,16
4338,racine,16
1608,endicott,16
119,amity,16
5202,sumner,16
1195,cromwell,16
4169,plainville,16
2917,lilburn,16
3591,natick,16
1875,ft worth,16
1132,corona,16
4201,point pleasant,16
3467,mount marion,16
4851,shippensburg,16
49,albert lea,16
4900,skamokawa,16
664,buffalo grove,16
5418,turner,16
2188,hampstead,16
3156,marlton,16
4734,scarsdale,16
1096,conroe,16
2798,lakeside,16
1717,farmland,16
4890,simpsonville,16
1042,cold spring,16
1227,d. c.,16
3983,pahrump,16
2621,kendall park,16
4000,palmetto,16
449,bisbee,16
896,chattaroy,16
454,bklyn,16
5459,upper darby,16
4560,rsm,15
3513,mt.airy,15
2437,huntersville,15
469,blair,15
2156,hacienda heights,15
3311,midway city,15
603,brisbane,15
5486,valley,15
1052,collegeville,15
5220,supply,15
4515,rolling meadows,15
1641,estill springs,15
1043,colerain,15
3739,north bergen,15
3780,north royalton,15
2566,joplin,15
2892,levering,15
3975,pacific grove,15
197,atascadero,15
5823,white river junction,15
2739,laconia,15
5867,williston,15
4410,republic,15
267,bangor,15
1939,gastonia,15
1469,east islip,15
4162,placerville,15
741,canonsburg,15
2976,logan,15
3928,orland park,15
1216,cullowhee,15
5820,white oak,15
5274,tarzana,15
3112,manhattan beach,15
686,butler,15
2941,linton,15
754,cape may,15
4801,severn,15
5408,tujunga,15
1914,gamaliel,15
2025,gonic,15
2966,livingston,15
2086,great neck,15
5546,virginia,15
5429,twentynine palms,15
4050,patchogue,15
2466,imperial beach,15
81,alliance,15
3280,meshoppen,15
5977,wynnewood,15
2472,indian head,15
619,bronxville,15
1217,culver city,15
818,catskill,15
2787,lake stevens,15
4250,portage,15
5434,two harbors,15
2119,gridley,15
5835,whiting,15
4460,river falls,15
4007,palos verdes peninsula,15
5763,west roxbury,15
2109,greensburg,15
5431,twin falls,15
1489,eastampton,15
4315,pulaski,15
650,bryn mawr,15
4129,pillager,14
2994,long lake,14
1743,flemington,14
5847,wild rose,14
5395,troutdale,14
4364,rapid river,14
3299,middlebury,14
2731,la puente,14
4134,pine bush,14
2380,hominy,14
5008,spanish fork,14
1187,creston,14
2317,highland heights,14
4279,prairie village,14
5896,windham,14
1801,fort riley,14
1838,franktown,14
4840,shepherdsville,14
2877,leicester,14
1196,crosby,14
4830,shelby,14
1871,ft myers,14
1399,dubuque,14
2352,hoffman estates,14
5034,spring valley,14
724,campbell,14
5793,weston,14
1581,elmer,14
2721,la grange park,14
1898,gadsden,14
2270,hedgesville,14
4806,sewickley,14
4616,saint joseph,14
4771,seatac,14
982,clarksburg,14
458,black mountain,14
2208,harleysville,14
1542,eldorado,14
911,chery hill,14
186,asheboro,14
1333,despair,14
5088,st.ann,14
3933,orono,14
1464,east hampton,14
4728,saylorsburg,14
2187,hampden,14
5782,western springs,14
3895,olmsted township,14
5680,webberville,14
2082,great bend,14
3212,mccomb,14
5981,xenia,14
3262,merced,14
4655,san ildefonso,14
5244,sykesville,14
2158,hackensack,14
1309,delton,14
3795,northborough,14
3357,miskotonic,14
3153,marlboro,14
1722,felton,14
4763,sea isle city,14
2646,kewaskum,14
2021,golden valley,14
5813,white bear lake,14
5400,trumansburg,14
5455,university heights,14
578,breckenridge,14
2642,kershaw,14
1384,downingtown,13
4758,scottsboro,13
6000,yorktown heights,13
5190,sugar land,13
633,brookville,13
2441,huntington station,13
5805,wheat ridge,13
11,abita springs,13
798,casco,13
3265,merchantville,13
4652,san francsico,13
5728,west fargo,13
2837,latrobe,13
5689,wellington,13
3377,mohnton,13
823,cayucos,13
4668,san ysidro,13
1511,edgewood,13
2805,land o lakes,13
894,chatsworth,13
1425,durbin,13
731,canal winchester,13
2649,key west,13
3401,monterey,13
2706,kutztown,13
5279,taylors,13
3409,montpelier,13
1568,ellenton,13
4817,shamokin,13
2373,holyoke,13
4797,senecaville,13
744,cantonment,13
1439,eagle grove,13
1331,des plaines,13
2544,jenkintown,13
1459,east granby,13
4820,sharon,13
700,calabasas,13
3001,lookout mtn.,13
4792,seminole,13
3168,martinez,13
4875,silver city,13
4646,san clemente,13
4827,shawnee mission,13
3359,mission hills,13
1189,crestwood,13
2814,langhorne,13
3531,murray,13
5907,winona,13
1705,falls city,13
1869,ft lauderdale,13
5505,vancleave,13
157,apple creek,13
3720,nokomis,13
1896,fuquay-varina,13
280,barneveld,13
3718,noble,13
4413,reseda,13
4504,rocky hill,13
1906,galion,13
293,barton,13
1146,cotati,13
4320,purvis,13
5495,valley view,13
1727,fernandina beach,13
5046,st charles,13
1993,glencoe,13
4955,south charleston,13
4081,pendleton,13
4022,paramount,13
1270,de pere,13
5619,warrington,13
1978,glasgow,13
4369,ray city,13
3656,new paltz,13
4483,rochster,13
2252,haymarket,13
3552,n. bergen,13
2064,grants pass,13
402,benton,13
1662,everson,13
1179,creola,13
3765,north lima,13
2070,grass valley,13
1683,fairfax county,13
1091,conifer,13
409,berkeley springs,13
4286,prescott valley,13
1512,edina,12
4469,riverview,12
576,brazoria,12
3863,ocean springs,12
2528,jaffrey,12
3067,macedon,12
2053,grand ledge,12
465,bladensburg,12
636,brown city,12
5886,wilson,12
893,chatham,12
2105,greeneville,12
2243,havertown,12
2479,indiana &,12
5635,washougal,12
634,broomfield,12
3068,macedonia,12
182,arroyo grande,12
1114,coppell,12
193,aspen,12
1658,evensville,12
3932,oro valley,12
2059,granger,12
3752,north franklin,12
361,belle,12
3955,overland,12
884,charles town,12
5665,waxahachie,12
2068,grapevine,12
5076,st. louis park,12
2069,grass lake,12
2602,kaysville,12
3181,matamoras,12
5117,starkville,12
172,arden hills,12
5878,willowbrook,12
4715,saugatuck,12
1041,colchester,12
2191,hanahan,12
95,altadena,12
3463,mount juliet,12
774,carnation,12
1159,coupeville,12
2794,lake zurich,12
6018,zenda,12
5170,streetman,12
834,cedar springs,12
5973,wynantskill,12
246,bailey,12
1396,duarte,12
2749,lagrange,12
4237,port orange,12
4202,point richmond,12
2755,laingsburg,12
4546,round lake beach,12
4572,rush,12
2287,hercules,12
1786,fort huachuca,12
4216,ponte vedra beach,12
2343,hiram,12
2289,herman,12
2875,lehigh acres,12
2293,hermosa beach,12
3544,mystic,12
4332,queens village,12
5818,white lake,12
4538,roslindale,12
132,angleton,12
1753,flower mound,12
733,canastota,12
4280,prairieville,12
3514,mt.vernon,12
1757,fogelsville,12
4796,seneca,12
5309,tewksbury,12
2695,knob noster,12
1920,garden city park,12
493,blue hill,12
1811,fort washington,12
3425,moran,12
1241,damascus,11
5524,vernon hills,11
1790,fort lee,11
2869,lees summit,11
1844,freedom,11
4972,south mills,11
1086,concord twp.,11
3241,medway,11
2801,lamar,11
4975,south ogden,11
830,cedar grove,11
5260,talkeetna,11
3231,meadville,11
3850,oakton,11
3868,oconomowoc,11
1088,concrete,11
4273,powhatan,11
4223,port allen,11
4776,sebastopol,11
2874,lehi,11
5269,tangent,11
4373,raynham,11
3047,luray,11
4064,peaks island,11
4074,pelham,11
1990,glen rock,11
4085,pennsauken,11
5554,voorheesville,11
4769,searcy,11
4096,perry hall,11
298,bastrop,11
2980,loganville,11
5404,tualatin,11
757,capitol heights,11
286,barrington,11
5974,wyncote,11
278,barnegat,11
4757,scottsbluff nebraska,11
2024,goleta,11
2929,lincon,11
4328,quantico,11
2912,libertyville,11
2595,kasilof,11
1710,faribault,11
5810,wheeling,11
5848,wilder,11
1454,east burke,11
377,bellows falls,11
1699,falconer,11
5632,washington township,11
3263,mercer,11
3899,olyphant,11
3745,north chili,11
5795,westville,11
4569,running springs,11
1297,delaware,11
3456,mount carmel,11
2137,grover beach,11
1618,enosburg falls,11
5983,yancey,11
5157,storrs,11
5656,waukegan,11
3770,north olmsted,11
547,bowie,11
126,andover,11
3816,novato,11
3636,new fairfield,11
2363,hollsopple,11
5482,valencia,11
103,altus,11
3773,north pole,11
4919,smithville,11
79,allenton,11
3774,north port,11
4949,sonora,11
5213,sundance,11
5895,windermere,11
4660,san lorenzo,11
3573,nanuet,11
431,beverly hills,11
2485,indpls,11
1265,dawson,11
3376,mohegan lake,11
4943,somerset,11
1595,emerald,11
1280,decorah,11
5137,stevens point,11
1245,dania beach,11
3270,merlin,11
1073,columbia heights,11
5074,st. joseph,10
3985,painesville township,10
5943,woodland,10
4111,pflugerville,10
1209,crystal lake,10
2683,kirksville,10
144,anthem,10
1762,fond du lac,10
4783,sedona,10
483,blooming prairie,10
4508,rogers,10
5287,telford,10
1112,copiague,10
6010,yukon,10
719,cameron park,10
3065,macarthur,10
1266,dawsonville,10
2634,kentfield,10
4628,salina,10
5061,st. augustine,10
4039,parsippany,10
5559,w. haverstraw,10
4342,raeford,10
205,atlantic,10
2400,hopkins,10
3664,new ringgold,10
3042,ludington,10
4378,red bank,10
5316,the villages,10
2375,homer city,10
2880,lemoore,10
1854,friday harbor,10
2872,leesville,10
1791,fort leonard wood,10
799,casey,10
5900,wine country,10
5830,whitehouse,10
1828,foxboro,10
1379,dover-foxcroft,10
1820,fountain,10
2324,hightstown,10
1369,dorchester,10
1593,elyria,10
2321,highland village,10
822,cayce,10
2318,highland hts.,10
5827,whitefish,10
4858,short hills,10
2809,landing,10
5194,sulphur,10
1864,fruitland park,10
5023,splendora,10
5207,sun city west,10
3618,nevada,10
4126,piedmont,10
1915,gambrills,10
5319,thermal,10
121,anacortes,10
5041,springville,10
434,biddeford,10
1908,galliano,10
5324,thomaston,10
5030,spring grove,10
4581,rutland,10
1283,deer lodge,10
549,bowman,10
5326,thompson,10
5203,sumter,10
3451,moultonborough,10
2899,lewistown,10
4194,pocomoke,10
1412,dundalk,10
518,bolton,10
4898,sitka,10
3906,onley,10
2480,indiana and philadelphia,10
3794,northboro,10
1232,dagsboro,10
5522,vermillion,10
1692,fairport harbor,10
1235,dale,10
2518,issaquah,10
5103,stafford springs,10
378,bellport,10
3862,ocean park,10
3284,metuchen,10
3327,millis,10
3921,orchard park,10
1486,east stroudsburg,10
373,bellflower,10
1494,eastpointe,10
3140,marcola,10
3294,middle grove,10
3886,old bridge,10
2495,inver grove heights,10
3737,north bend,10
3293,michigan city,10
1661,evergreen park,10
2484,indio,10
2037,goshen,10
2126,grosse pointe,10
4897,sisters,10
4465,riverhead,10
422,bethel park,10
5786,westhampton,9
5862,williamston,9
2725,la junta,9
1404,dumfries,9
2071,gravel ridge,9
2933,lindenwold,9
1281,dedham,9
2940,lino lakes,9
1322,denville,9
4443,ridgway,9
862,chalfont,9
935,chillicothe,9
4150,pipestone,9
4336,quitman,9
861,chagrin falls,9
1204,croydon,9
18,ada,9
55,albuerque,9
5421,turnersville,9
5259,talala,9
5581,wakeman,9
3734,north aurora,9
229,aventura,9
6,aberdeen,9
1174,cranston,9
2840,laurel,9
4468,riverton,9
5743,west lebanon,9
4296,princeton junction,9
3551,n richland hills,9
3508,mt. prospect,9
5596,walnut,9
5927,wmsburg,9
5433,twinsburg,9
5011,sparks,9
5360,toluca lake,9
3835,oak hill,9
71,algonquin,9
3824,nutley,9
5250,t or c,9
2104,greene,9
5736,west henrietta,9
8,abingdon,9
4193,pocola,9
2527,jacksonville beach,9
2093,green oak township,9
4117,phillipsburg,9
2897,lewisburg,9
786,carson,9
4540,roslyn heights,9
3590,natchitoches,9
3861,ocean grove,9
2346,hobbs,9
5825,white springs,9
2098,greenback,9
140,anniston,9
3225,mclen,9
1686,fairhope,9
5733,west hartford,9
926,cheyenne,9
2046,granby,9
5222,surprise,9
4624,saint petersburg,9
1617,enon,9
2006,glenwood,9
473,blanchard,9
3750,north east,9
2396,hope,9
1726,ferguson,9
976,clark,9
3073,madbury,9
74,aliso viejo,9
4382,red lion,9
4749,scio,9
5684,weeki wachee,9
3771,north plainfield,9
5064,st. clair,9
3148,marine city,9
916,chester springs,9
333,beaufort,9
1528,eighty four,9
2231,hastings,9
36,aiea,9
2172,half moon bay,9
3055,lynden,9
4403,remsen,9
4744,schofield barracks,9
5142,stewartstown,9
732,canandaigua,9
328,bealeton,9
3977,pacific palisades,9
3128,maple grove,9
5079,st. matthews,9
489,bloomsbury,9
1639,estero,9
974,clarendon hills,9
4478,robesonia,9
5052,st louis park,9
220,auke bay,9
4618,saint martinville,9
142,anoka,9
1941,gatlinburg,9
4412,rescue,9
5315,the san francisco bay area,9
4419,reynoldsburg,9
2978,logansport,9
5888,wilton,9
4784,sedro-woolley,9
5664,waverly,9
3948,otis,9
5283,tecate,9
3232,mebane,8
167,arcadia,8
237,ayer,8
4635,saltsburg,8
5110,stanley,8
4225,port arthur,8
4648,san dimas,8
349,bel nor,8
4236,port neches,8
3994,palm coast,8
4846,shickshinny lake,8
359,bella vista,8
3495,mt vernon,8
242,babson park,8
5113,stanwood,8
5929,wolcott,8
3268,merion,8
4434,richmond hill,8
70,alfred,8
248,bainbridge,8
2850,lawrenceburg,8
430,beverly,8
5163,strasburg,8
5346,timmmonsville,8
337,beaver falls,8
4344,rahway,8
535,bosque,8
335,beaver,8
5147,stockbridge,8
4054,pauline,8
3913,oracle,8
2942,lisbon,8
216,auburndale,8
4978,south pasadena,8
2948,litleton,8
5099,st.petersburg,8
4804,seville,8
4136,pine hill,8
5322,thief river falls,8
5887,wilsonville,8
3520,mullins,8
2987,lone rock,8
3601,nederland,8
3786,north syracuse,8
3889,old saybrook,8
4474,robbinsdale,8
661,buellton,8
5356,tohatchi,8
398,bennington ct,8
3923,oregon,8
2900,lewisville,8
4541,rossville,8
4213,pompton plains,8
416,berthoud,8
5978,wyoming,8
749,cape canaveral,8
4829,sheffield,8
366,belle vernon,8
4383,red oak,8
782,carriere,8
470,blairs,8
13,accokeek,8
417,berwyn,8
3598,nazareth,8
2916,ligonier,8
3030,loves park,8
4181,playa del rey,8
4171,plaistow,8
3214,mcdonald,8
4682,sanger,8
690,bynum,8
1423,durand,8
1502,eddy,8
1689,fairmont,8
2530,jamaica,8
2150,guntersville,8
2690,kitty hawk,8
5471,utica,8
2779,lake ozark,8
941,chino valley,8
1707,falmouth,8
882,charity,8
2497,inwood,8
2276,helotes,8
5622,warsaw,8
5470,uss monterey,8
2693,knightdale,8
5440,tyrone,8
871,channahon,8
2260,hazlet,8
1773,foresthill,8
1798,fort pierce,8
839,celina,8
1038,cohasset,8
1806,fort stewart,8
1340,dewey,8
981,clarks summit,8
1338,devils lake,8
2003,glens falls,8
5569,wagener,8
5537,vilas,8
1586,elmore city,8
5364,toms river,8
906,cherokee,8
5578,waite park,8
1909,galloway,8
2087,great river,8
904,cheney,8
1317,denmark,8
1388,dracut,8
5474,va.beach,8
2079,grayson,8
902,chelsea,8
1436,e.bethel,8
1392,drumright,8
1007,clifton park,8
5652,watson,8
2142,guilderland,8
1022,coal city,8
2143,guilderland center,8
2304,hialeah,8
3019,loudon,7
2381,homosassa,7
2379,homewood,7
3414,moodus,7
2360,hollis,7
3014,los feliz,7
3402,monterey park,7
5748,west melbourne,7
5750,west mifflin,7
4217,pontiac,7
5968,wrightwood,7
292,barto,7
5390,trinidad,7
4140,pinedale,7
4184,pleasant prairie,7
2711,la,7
3510,mt. sterling,7
748,canyon lake,7
5962,worthington,7
2984,lompoc,7
1901,gaines,7
266,bancroft,7
261,ball ground,7
4161,placentia,7
1003,cliffside park,7
1154,cotuit,7
3457,mount clemens,7
866,champlain,7
3453,mounds view,7
876,chapin,7
526,bonsall,7
5845,wilberforce,7
258,baldwin park,7
1775,forked river,7
1835,franklinton,7
4255,porterville,7
4981,south riding,7
2517,islip,7
939,chincoteague island,7
4970,south lebanon,7
1680,fairbury,7
699,cahokia,7
5982,yakima,7
3193,maurice,7
3182,matawan,7
