,Decade-Of-Publication,Book-Rating
227716,1990,8
227718,1990,8
227719,1990,10
227724,1990,8
227729,1990,9
227732,1990,10
227736,1990,4
227738,1990,8
227739,1990,7
227740,1990,3
227741,1990,9
227743,1990,10
227747,1990,8
227751,1970,10
227752,1970,9
227753,1970,7
227755,1970,10
227756,1990,8
227759,1990,6
227763,1990,5
227771,1990,8
227772,1990,8
227773,1990,8
227781,1990,3
227783,1990,9
227784,1990,7
227789,1990,8
227791,1990,8
227795,2000,6
227797,2000,8
227798,2000,8
227802,2000,7
227805,2000,9
227807,2000,10
227810,2000,8
227811,2000,6
227812,2000,10
227816,2000,7
227818,1990,10
227819,1990,8
227820,1990,8
227823,1990,9
227826,1990,8
227827,1990,8
227828,1990,10
227829,1990,8
227839,1990,8
227841,1990,8
227843,1990,7
227848,2000,10
227854,1970,6
227857,1970,9
227858,1970,10
227861,1970,10
227863,1970,10
227868,1990,8
227870,1990,7
227872,1990,10
227873,1990,9
227874,1990,5
227877,1990,9
227880,1990,7
227885,1990,9
227887,1990,5
227891,1980,10
227892,1980,3
227898,1990,5
227902,1950,9
227904,1950,9
227908,1950,10
227909,1950,5
227911,1950,8
227912,1950,7
227916,1950,10
227919,1950,9
227925,1950,8
227926,1950,9
227932,1980,5
227935,1980,8
227937,1980,9
227938,1990,9
227939,1990,8
227940,1990,9
227946,2000,7
227952,2000,10
227953,2000,7
227954,2000,7
227956,2000,8
227962,2000,10
227964,2000,8
227969,2000,7
227971,2000,5
227980,2000,8
227981,2000,8
227982,2000,8
227983,2000,10
227987,2000,10
227989,2000,7
227993,2000,10
227995,2000,8
228001,2000,7
228003,2000,8
228005,2000,6
228009,2000,9
228010,2000,10
228011,2000,8
228013,2000,10
228014,2000,9
228019,2000,8
228021,2000,10
228025,2000,8
228026,2000,9
228029,1990,10
228031,2000,4
228033,2000,8
228038,1990,8
228041,1990,5
228043,1990,9
228044,1990,8
228046,1990,10
228047,1980,8
228052,1980,8
228057,1970,9
228058,1970,8
228060,1970,9
228062,1970,7
228065,1970,6
228066,1970,9
228069,1970,5
228070,1970,10
228072,1970,10
228073,1970,9
228074,1970,10
228080,1970,9
228084,1970,8
228096,1970,10
228097,1970,10
228098,1970,10
228100,1970,9
228103,1970,10
228105,1970,9
228106,1970,10
228110,1970,9
228111,1970,8
228115,1970,10
228117,1970,6
228121,1970,10
228125,1970,8
228127,1970,8
228130,1970,8
228131,1970,10
228132,1970,8
228134,1990,10
228138,1990,9
228143,1990,10
228150,1930,5
228152,1930,9
228154,1930,10
228158,1930,7
228160,1930,6
228165,1930,10
228171,1930,8
228172,1930,8
228177,1930,10
228179,1930,7
228191,1980,10
228192,1980,8
228195,1980,10
228200,1980,8
228204,1980,10
228206,1980,10
228207,1980,10
228214,1980,8
228215,1980,5
228220,1980,6
228226,1980,10
228227,1980,10
228229,1990,8
228236,1990,2
228240,1980,7
228250,1980,9
228251,1980,6
228253,1980,10
228254,1980,6
228261,1980,8
228265,1980,8
228273,1990,8
228274,2000,9
228280,1990,7
228281,1990,6
228282,1990,9
228287,1990,5
228296,1980,8
228297,1980,8
228298,1980,5
228302,1990,5
228304,1990,5
228318,1990,8
228320,1990,8
228322,1990,10
228325,1990,9
228332,1980,10
228334,1980,10
228335,1990,10
228339,1990,9
228340,1990,10
228342,2000,8
228344,2000,10
228345,1990,10
228347,2000,7
228354,2000,10
228355,2000,9
228357,1990,10
228358,1990,8
228367,1990,9
228369,2000,10
228372,2000,9
228373,2000,10
228374,1990,8
228375,2000,8
228376,2000,10
228382,2000,10
228383,2000,7
228387,1990,9
228388,1990,7
228389,1990,9
228391,1990,10
228392,1990,10
228393,2000,8
228395,1990,10
228396,1990,5
228398,1990,8
228401,1990,8
228408,1980,10
228411,2000,8
228412,2000,7
228413,2000,9
228414,1990,10
228417,1990,8
228419,1990,7
228420,1990,5
228421,1990,4
228422,2000,10
228423,1990,10
228426,1990,10
228428,1980,8
228432,1990,10
228433,2000,9
228442,1990,10
228451,1990,9
228452,1990,9
228454,1990,9
228455,1990,7
228458,1980,10
228459,1990,5
228460,1990,5
228462,1990,3
228467,1990,9
228470,1990,10
228471,2000,10
228473,1990,7
228474,1990,9
228475,1990,8
228478,1990,5
228480,1990,7
228481,1990,6
228490,2000,8
228492,1990,9
228493,2000,10
228494,1990,5
228495,1990,5
228499,1990,8
228503,1990,7
228505,2000,8
228508,2000,10
228509,2000,9
228511,1990,10
228512,2000,10
228513,1990,10
228514,1990,10
228527,1990,9
228529,1990,10
228532,2000,9
228535,2000,10
228536,2000,7
228537,2000,10
228540,2000,10
228542,2000,10
228544,2000,7
228545,2000,9
228546,2000,10
228548,2000,10
228553,1970,10
228555,1970,5
228559,1970,8
228572,1990,5
228585,2000,10
228587,2000,2
228588,2000,10
228594,2000,10
228599,2000,6
228600,2000,7
228601,2000,7
228603,2000,5
228605,2000,6
228608,2000,5
228611,2000,8
228617,2000,8
228629,1990,10
228631,1990,7
228634,1990,5
228638,1990,2
228641,1990,5
228642,1990,9
228644,1990,10
228653,1990,10
228667,1990,1
228675,1990,8
228682,1990,7
228684,1990,10
228694,1990,8
228696,1990,8
228704,1990,7
228716,1990,7
228729,1990,7
228730,1990,5
228738,1990,3
228745,1990,4
228757,1990,5
228765,1990,5
228773,2000,5
228777,2000,8
228780,2000,8
228789,2000,7
228799,2000,10
228801,2000,7
228822,2000,10
228825,2000,8
228826,2000,9
228828,1990,9
228830,1990,8
228840,1990,8
228841,1990,9
228846,1990,7
228851,2000,7
228853,2000,8
228870,1990,8
228875,1990,6
228881,1990,10
228882,1990,5
228886,1990,10
228888,1990,10
228892,1990,10
228894,1990,5
228898,1990,10
228904,1990,9
228931,1990,5
228945,1990,7
228948,1990,8
228949,1990,9
228951,1990,7
228962,1990,8
228963,1990,10
228966,1990,7
228971,1990,10
228975,1990,8
228978,1990,9
228979,1990,6
228985,1990,8
228995,1990,5
228996,1990,9
228997,1990,8
229002,1990,10
229008,1990,8
229014,1990,8
229015,1990,7
229016,1990,10
229022,1990,10
229029,1990,10
229044,1990,9
229049,1990,9
229051,1990,9
229055,1990,8
229061,1990,9
229063,1990,5
229064,1990,10
229069,1990,9
229072,1990,9
229075,1990,6
229079,1990,9
229086,1990,7
229088,2000,5
229097,1980,5
229100,2000,5
229105,2000,8
229106,2000,8
229117,2000,8
229122,2000,8
229123,2000,3
229131,2000,10
229140,2000,6
229149,2000,8
229150,2000,8
229151,2000,5
229152,2000,9
229153,2000,5
229166,2000,6
229174,1990,8
229176,1990,9
229183,1990,6
229184,1990,10
229188,1990,9
229201,1990,8
229208,1990,10
229209,1990,10
229210,1990,5
229218,1990,9
229228,1990,10
229233,1990,5
229244,1990,10
229271,1990,8
229276,1990,10
229279,1990,5
229282,1990,9
229287,1990,6
229293,1990,8
229300,1990,9
229305,1990,8
229306,1990,5
229313,1990,7
229315,1990,6
229319,1980,8
229327,2000,10
229330,1990,10
229331,1990,7
229357,1990,8
229365,1990,7
229366,1990,8
229371,1990,10
229372,1990,9
229381,1990,6
229383,1990,5
229384,1990,9
229387,1990,9
229390,1990,7
229391,1990,10
229392,1990,10
229394,1990,10
229400,1990,8
229403,1990,8
229414,2000,3
229419,2000,8
229422,2000,9
229427,2000,10
229429,2000,8
229430,2000,9
229440,2000,9
229442,2000,8
229444,2000,8
229445,2000,9
229450,2000,7
229454,2000,9
229457,2000,8
229458,2000,7
229460,2000,10
229461,2000,8
229474,2000,9
229477,2000,5
229479,2000,9
229483,2000,8
229485,2000,8
229487,2000,4
229488,2000,9
229491,2000,8
229493,2000,10
229497,2000,8
229503,2000,8
229504,2000,7
229505,2000,9
229508,2000,7
229509,2000,9
229511,2000,8
229513,2000,8
229516,2000,9
229522,2000,10
229524,2000,5
229525,2000,8
229531,2000,10
229532,2000,8
229544,2000,9
229546,2000,7
229558,2000,6
229565,1990,9
229567,1990,8
229569,1990,7
229571,1990,8
229575,1990,8
229579,1990,9
229582,1990,10
229584,1990,7
229588,1990,7
229592,1990,7
229602,1990,10
229606,1990,5
229611,1990,6
229612,1990,9
229616,1990,8
229619,1990,8
229626,1990,9
229628,1990,5
229637,1990,9
229638,1990,9
229640,1990,9
229646,1990,9
229647,1980,8
229650,1980,5
229663,1980,7
229668,1980,8
229671,1980,8
229677,1980,10
229680,1980,8
229681,1980,8
229686,1980,10
229693,1980,10
229695,1980,9
229696,1980,9
229700,1980,10
229705,1980,10
229708,1980,10
229728,1990,8
229731,1990,8
229732,1990,7
229737,1990,6
229739,1990,8
229740,1990,6
229743,1990,5
229751,1990,8
229757,1990,8
229761,1990,8
229770,1990,8
229775,1990,8
229784,1990,8
229786,1990,6
229788,1990,5
229789,1990,7
229795,1990,10
229801,1990,5
229806,1990,10
229811,1990,7
229820,1990,10
229827,1990,5
229829,1990,5
229834,1990,9
229836,1990,5
229838,1990,5
229840,1990,10
229842,1990,5
229844,1990,6
229855,2000,7
229858,2000,2
229861,2000,9
229862,2000,10
229863,2000,9
229864,2000,7
229865,2000,8
229871,2000,6
229873,1990,8
229876,1990,10
229882,1980,8
229889,1990,10
229893,1990,8
229897,1990,9
229906,1990,7
229913,1990,10
229915,1990,7
229916,1990,10
229922,1990,9
229925,1990,8
229935,1990,8
229944,2000,7
229948,2000,5
229958,1990,7
229964,1990,9
229967,1990,8
229971,2000,7
229976,2000,10
229986,2000,6
229992,2000,9
229998,2000,8
230004,2000,8
230010,2000,8
230014,2000,9
230016,2000,10
230018,2000,10
230027,2000,9
230031,2000,9
230037,2000,8
230043,2000,10
230052,2000,9
230053,2000,6
230054,2000,8
230058,2000,5
230064,2000,5
230065,2000,6
230067,2000,5
230068,2000,8
230074,2000,7
230076,2000,10
230077,2000,7
230083,1990,8
230089,1990,5
230094,1990,8
230102,1990,9
230109,1990,10
230111,1990,3
230116,1990,8
230126,1990,8
230129,1990,5
230132,1990,10
230135,1990,8
230136,1990,6
230139,1990,10
230143,1990,9
230150,1990,8
230152,1990,8
230156,1990,8
230159,1990,6
230160,1990,8
230168,1990,8
230177,1990,7
230179,1970,7
230185,1980,9
230187,1980,10
230191,1980,5
230194,1980,9
230195,1980,10
230202,1980,8
230207,1980,10
230208,1980,9
230211,1980,10
230229,1980,4
230230,1980,8
230231,1980,5
230232,1980,6
230239,1980,5
230240,1980,8
230241,1980,7
230252,1980,9
230262,1980,9
230267,1980,8
230271,1980,7
230274,1980,7
230276,1980,6
230285,1980,8
230296,1980,10
230307,1980,10
230308,1990,10
230319,1990,8
230324,1990,8
230327,1990,9
230335,1990,8
230337,1990,9
230340,1990,7
230342,1990,6
230343,1990,10
230344,1990,7
230350,1980,7
230351,1980,6
230354,1980,8
230355,1990,8
230357,1990,7
230359,1990,9
230367,2000,10
230369,1980,8
230375,2000,10
230376,2000,8
230380,2000,9
230388,2000,8
230389,2000,9
230391,2000,9
230393,2000,8
230395,2000,8
230397,2000,10
230401,2000,7
230405,2000,10
230413,2000,8
230414,2000,5
230416,2000,8
230425,2000,4
230429,2000,10
230433,1990,7
230434,1990,9
230441,1950,10
230444,1950,10
230445,1950,9
230448,1990,4
230456,1970,7
230459,1970,10
230460,1990,7
230461,2000,8
230464,2000,8
230467,2000,10
230475,2000,10
230480,1990,6
230481,1990,8
230482,1990,10
230485,1990,8
230486,1990,8
230492,1990,9
230495,1990,7
230497,1990,8
230503,1990,4
230506,1990,8
230512,1990,6
230513,1990,9
230514,1990,8
230518,1990,7
230523,1990,8
230526,1990,9
230529,1990,8
230530,1990,10
230531,1990,9
230534,1990,9
230539,1990,8
230541,1990,10
230543,1990,8
230548,1990,10
230550,1990,7
230554,1990,8
230556,1990,7
230558,1990,9
230561,1990,9
230563,1990,9
230564,1990,9
230565,1990,9
230566,1990,10
230570,1990,8
230571,1990,9
230575,1990,9
230577,1990,9
230579,2000,7
230582,2000,9
230593,2000,8
230601,2000,10
230609,2000,7
230618,2000,10
230622,2000,10
230623,2000,10
230624,2000,8
230625,2000,8
230629,1990,7
230635,1990,9
230636,1990,8
230647,1990,6
230650,1990,8
230652,1990,8
230656,1990,7
230659,1990,6
230663,1990,4
230669,1990,8
230676,1990,6
230677,1990,10
230679,1990,9
230685,1990,9
230690,2000,6
230691,2000,8
230702,2000,8
230706,2000,7
230708,1990,9
230710,1990,8
230711,1990,10
230714,1990,10
230715,1990,8
230717,1990,7
230718,1990,5
230724,2000,8
230728,2000,9
230730,2000,8
230747,2000,9
230749,2000,10
230764,2000,8
230766,2000,10
230769,2000,10
230770,2000,7
230772,2000,7
230773,2000,8
230775,2000,6
230778,2000,10
230788,2000,7
230791,2000,9
230797,1990,10
230801,1990,9
230812,1970,7
230822,1970,9
230823,1970,8
230827,1990,9
230830,1990,7
230837,1990,8
230843,1990,8
230844,1990,10
230845,1990,8
230846,1990,8
230847,1990,5
230855,1990,5
230859,1990,5
230862,1990,9
230877,1990,10
230879,1990,6
230880,1990,10
230884,1980,10
230887,1980,8
230890,1980,10
230895,1980,10
230899,1980,10
230901,1980,8
230906,1980,10
230911,1980,6
230912,1980,10
230916,1980,8
230920,1980,8
230922,1980,6
230929,1980,7
230930,1980,7
230935,1980,5
230939,1980,8
230952,1980,8
230954,1980,4
230959,1980,7
230961,1980,8
230972,1980,10
230973,1970,9
230977,1970,10
230979,1970,7
230982,1970,9
230988,1980,10
230990,1980,8
230996,1990,7
231001,1990,10
231003,1990,9
231006,1990,6
231010,1990,7
231014,1990,8
231015,1990,8
231017,1990,9
231025,1980,9
231027,1980,9
231029,1980,10
231032,1980,9
231035,1980,7
231044,1980,6
231047,1980,10
231048,1980,8
231050,1980,8
231062,1980,8
231072,1980,10
231080,1980,8
231083,1980,8
231089,1980,5
231098,1980,7
231100,1980,8
231104,1980,9
231109,1980,10
231110,1980,8
231114,1980,8
231115,1980,10
231119,1980,8
231125,1980,10
231130,1980,4
231131,1980,7
231133,1980,10
231138,1980,9
231139,1980,8
231141,1980,7
231143,1980,10
231144,1980,8
231149,1980,8
231151,1980,10
231152,1980,10
231153,1980,10
231160,1990,8
231167,1980,7
231168,1980,8
231170,1980,8
231172,1980,5
231174,1980,8
231181,1980,5
231185,1980,7
231194,1980,5
231195,1980,8
231202,1980,6
231203,1980,9
231207,1980,9
231210,1980,5
231211,1980,5
231212,1980,7
231219,1980,8
231220,1980,8
231225,1980,5
231231,1980,9
231237,1990,6
231253,1990,8
231255,1990,7
231276,1990,8
231281,1990,7
231284,1990,9
231295,1990,9
231301,1990,5
231302,1990,8
231307,1990,8
231320,1990,8
231325,1990,10
231329,1990,4
231335,1990,8
231341,2000,5
231344,2000,5
231353,2000,5
231359,2000,3
231362,2000,5
231372,2000,6
231381,1990,8
231384,1990,5
231385,1990,9
231386,1990,7
231387,1990,8
231397,1990,8
231398,1990,7
231405,1990,7
231412,1990,8
231423,1990,9
231437,1990,10
231441,1990,9
231449,1990,5
231453,1990,8
231454,1990,6
231455,1990,6
231456,1990,9
231462,1990,8
231476,1990,9
231478,1990,8
231482,1990,8
231483,1990,10
231484,1990,8
231488,1990,10
231492,1990,10
231493,1990,10
231500,2000,8
231507,2000,8
231509,2000,7
231510,2000,8
231511,2000,8
231520,2000,8
231529,2000,8
231537,1990,10
231539,1990,10
231548,1990,10
231553,2000,9
231554,2000,10
231556,2000,10
231559,2000,7
231564,2000,8
231573,2000,10
231574,2000,8
231575,2000,6
231576,2000,10
231577,2000,7
231578,2000,9
231581,2000,10
231586,2000,9
231590,2000,8
231593,2000,7
231619,1990,8
231621,1990,10
231622,1990,8
231623,1990,10
231624,1990,9
231625,1990,8
231631,1990,6
231635,1990,7
231639,1990,10
231645,2000,10
231646,1970,8
231648,1970,10
231649,1970,7
231651,1970,10
231656,1970,7
231657,1970,10
231661,1970,8
231665,1970,10
231666,1970,9
231667,1970,8
231669,1970,10
231671,1970,8
231674,1970,10
231678,1970,6
231686,1970,9
231688,1970,9
231693,1970,10
231700,1970,10
231705,1970,10
231710,1980,10
231713,1980,7
231715,1980,7
231717,1980,10
231721,1980,5
231731,1970,9
231734,1970,10
231736,1970,7
231741,1970,8
231750,1970,9
231766,1980,7
231767,1980,8
231773,1980,10
231778,1980,8
231788,1980,9
231790,1980,6
231791,1980,10
231792,1980,7
231793,1980,9
231797,1980,2
231803,1980,9
231806,1980,5
231819,1990,10
231821,1990,5
231823,1990,5
231834,1990,7
231842,1990,9
231844,1990,6
231847,1990,5
231850,1990,8
231851,1990,10
231854,1990,10
231855,1990,10
231856,1990,10
231857,1990,10
231866,1990,8
231867,1990,8
231868,1990,7
231872,1990,8
231875,1990,5
231882,1990,10
231892,2000,8
231902,1990,6
231903,1990,7
231904,1990,9
231905,1990,9
231910,1990,6
231911,1990,10
231916,1990,8
231917,1990,8
231923,1990,7
231928,1990,10
231930,1990,10
231931,1990,6
231932,1990,6
231933,1990,9
231934,1990,10
231935,1990,7
231938,1990,6
231940,1990,7
231942,1990,7
231945,1990,6
231950,1990,8
231952,1990,10
231956,1990,5
231960,2000,7
231969,2000,8
231970,2000,6
231981,1990,10
231999,1990,9
232002,1990,9
232003,1990,5
232012,1990,8
232018,1990,7
232019,1990,9
232020,1990,9
232025,2000,8
232031,2000,8
232036,2000,9
232038,2000,7
232046,2000,8
232053,2000,7
232054,2000,8
232058,2000,8
232066,2000,8
232068,2000,9
232073,2000,7
232075,2000,2
232082,2000,8
232085,2000,8
232086,2000,8
232099,1990,8
232101,1990,7
232105,1990,10
232109,1990,10
232116,1990,7
232118,1990,10
232121,1990,5
232123,1990,5
232129,1990,10
232139,1990,7
232147,1990,8
232152,1990,6
232156,1990,10
232162,1990,8
232166,1990,8
232172,1990,10
232174,1990,9
232175,1990,9
232179,2000,7
232181,2000,10
232183,2000,8
232186,2000,9
232187,2000,9
232189,1950,7
232200,1990,8
232204,1990,9
232219,1990,8
232220,1990,9
232223,1990,7
232225,1990,5
232228,1990,7
232229,1990,8
232237,1980,7
232240,1980,7
232241,1980,6
232247,1980,5
232249,1980,5
232266,1980,8
232274,1990,7
232283,1990,9
232294,1970,8
232300,1970,9
232301,1970,8
232302,1970,8
232306,1970,10
232323,1980,7
232335,1990,9
232342,1990,9
232361,1990,10
232372,1980,5
232386,1990,6
232423,1990,5
232438,1980,10
232444,1990,9
232446,1990,10
232449,1990,4
232450,1990,7
232451,1990,8
232458,1990,8
232459,1990,8
232466,1990,5
232467,1990,9
232469,1990,9
232471,1990,7
232477,1990,8
232496,1990,8
232502,1990,7
232511,1990,8
232512,1990,10
232514,1990,9
232517,1990,5
232520,1990,9
232522,1990,7
232530,1990,8
232542,1990,8
232543,1990,8
232544,1990,7
232561,2000,4
232570,2000,10
232580,2000,10
232583,2000,9
232584,2000,7
232589,2000,5
232590,2000,9
232592,2000,6
232598,2000,6
232602,2000,10
232606,2000,8
232610,2000,7
232613,2000,8
232642,2000,3
232643,2000,8
232646,2000,10
232650,2000,1
232651,2000,8
232653,2000,8
232654,2000,7
232658,2000,5
232661,2000,5
232663,2000,8
232665,2000,10
232668,2000,5
232670,2000,10
232683,2000,10
232685,2000,8
232689,2000,8
232690,2000,10
232703,2000,8
232704,2000,5
232706,2000,9
232720,2000,6
232724,2000,7
232726,2000,10
232727,2000,9
232729,2000,5
232734,2000,10
232740,2000,8
232741,2000,9
232748,2000,8
232752,2000,9
232754,2000,9
232755,2000,7
232761,2000,9
232775,1990,5
232778,1990,8
232786,1990,8
232788,1990,10
232789,1990,8
232793,1990,10
232796,1990,7
232807,1990,8
232812,1990,7
232813,1990,9
232814,1990,9
232815,1990,8
232816,1990,8
232820,1990,10
232821,1990,10
232822,1990,7
232829,1990,8
232841,1990,9
232843,1990,8
232845,1990,8
232846,1990,10
232848,1990,8
232850,1990,7
232856,1990,10
232859,1990,9
232860,1990,8
232865,1990,8
232869,1990,9
232875,1990,7
232880,1990,9
232886,1990,8
232893,1990,8
232894,1990,8
232896,1990,9
232901,1990,9
232902,1990,4
232917,1990,8
232918,1990,10
232922,1990,9
232923,1990,5
232931,1990,8
232936,1990,10
232937,1990,7
232941,1990,8
232944,1990,9
232950,1990,6
232966,1990,7
232970,1990,6
232976,1990,5
232981,1990,5
232986,1990,7
232992,1990,9
232996,1990,6
233021,1990,7
233025,2000,10
233027,2000,5
233032,2000,7
233038,2000,5
233042,2000,7
233047,2000,6
233049,2000,7
233050,2000,7
233051,2000,9
233053,2000,8
233061,2000,5
233064,2000,8
233065,2000,6
233067,2000,5
233075,2000,7
233083,2000,6
233090,2000,3
233093,2000,7
233096,2000,5
233098,2000,7
233115,2000,8
233119,2000,10
233122,2000,9
233124,2000,5
233125,2000,5
233128,2000,8
233130,2000,10
233132,2000,5
233137,2000,9
233141,2000,10
233145,2000,10
233152,2000,10
233160,1990,7
233164,1970,7
233177,1980,7
233184,1980,8
233193,1990,8
233197,2000,7
233205,2000,9
233207,1990,8
233208,1990,8
233213,1990,5
233216,1990,8
233228,1990,10
233230,1990,8
233237,1990,8
233246,2000,10
233250,2000,8
233251,2000,8
233253,2000,9
233254,2000,10
233258,2000,8
233260,2000,8
233261,2000,9
233262,2000,8
233263,2000,8
233268,2000,9
233270,2000,9
233272,2000,10
233276,2000,10
233282,1980,7
233286,1980,10
233287,1980,5
233289,1980,8
233291,1980,7
233296,1980,9
233301,1980,5
233306,1980,5
233317,1970,10
233320,1990,8
233323,1990,10
233325,1970,8
233330,1970,9
233338,1970,5
233340,1970,9
233342,1970,10
233343,1970,9
233363,1980,7
233365,1980,8
233386,1980,10
233388,1980,10
233391,1980,9
233394,1990,7
233402,1980,10
233406,1980,5
233410,1980,5
233415,1980,4
233424,1980,7
233425,1980,5
233426,1960,9
233428,1960,8
233434,1980,10
233441,1920,10
233446,1980,7
233456,1980,9
233458,1980,7
233459,1980,7
233463,1970,8
233466,1970,8
233471,1990,10
233477,1990,7
233480,1990,10
233481,1990,8
233482,1990,8
233488,1990,9
233489,1990,8
233492,1990,7
233499,1980,8
233500,1990,10
233502,1990,8
233505,1990,7
233514,1980,7
233523,1980,8
233528,1980,8
233538,1990,5
233571,1990,10
233576,1990,7
233582,1990,7
233586,1990,7
233593,1990,8
233597,1990,8
233600,1990,8
233601,1990,9
233604,1990,1
233607,1990,8
233608,1990,6
233613,1990,8
233622,1990,6
233625,1990,7
233628,1990,5
233645,2000,10
233649,2000,7
233654,2000,8
233661,2000,7
233665,2000,6
233672,2000,10
233673,2000,8
233675,2000,10
233688,2000,8
233691,2000,7
233695,2000,9
233697,2000,10
233703,2000,8
233707,2000,8
233709,2000,8
233711,2000,5
233717,2000,8
233721,2000,9
233722,2000,6
233723,2000,8
233726,2000,8
233731,2000,8
233732,2000,9
233733,2000,7
233737,2000,3
233745,2000,7
233749,2000,9
233752,2000,8
233754,2000,9
233756,2000,8
233757,2000,9
233759,2000,7
233760,2000,8
233764,2000,7
233765,2000,9
233775,2000,8
233778,2000,9
233782,2000,10
233786,2000,8
233790,2000,9
233791,2000,10
233793,2000,8
233794,2000,7
233796,2000,2
233801,1980,5
233802,1980,10
233806,1980,10
233807,1980,10
233810,1980,10
233813,1990,5
233814,1990,9
233824,1990,6
233826,1990,9
233827,1990,7
233828,1990,5
233830,1990,9
233841,1960,9
233842,1960,9
233848,1960,6
233850,1960,7
233860,1970,9
233862,1940,7
233865,1970,7
233869,1940,7
233870,1940,9
233883,1990,9
233886,1990,9
233888,1990,10
233895,2000,8
233896,2000,9
233907,1990,7
233921,1990,6
233951,1990,4
233952,1990,9
233954,1990,6
233956,1990,6
233974,1990,5
233984,1990,9
233986,1990,7
233994,1980,9
234004,1980,9
234011,1980,8
234015,1980,7
234016,1980,10
234026,1980,9
234034,1980,7
234038,1980,8
234042,1980,10
234043,1980,8
234056,1980,9
234062,1980,8
234063,1980,7
234065,1980,8
234071,1990,5
234086,1990,8
234094,1990,8
234097,1990,9
234106,1990,7
234119,1980,8
234123,1980,6
234135,1990,9
234142,1990,7
234146,1990,5
234148,1990,7
234151,1990,8
234153,1990,7
234160,1990,8
234164,1990,8
234181,1980,8
234189,1980,8
234196,1980,10
234204,1980,4
234209,1990,10
234215,1990,7
234229,1990,8
234233,1990,10
234236,1990,9
234240,1990,5
234246,1980,6
234249,1990,6
234256,1990,8
234257,1990,7
234259,1990,7
234260,1990,5
234269,1990,9
234280,1990,7
234295,1990,8
234335,1990,8
234342,1970,8
234343,1970,6
234345,1970,7
234346,1980,7
234348,1980,10
234349,1980,8
234350,1980,7
234354,1980,5
234356,1980,8
234357,1980,10
234358,1980,9
234370,1980,7
234384,1980,7
234390,1980,6
234392,1980,2
234394,1980,9
234396,1980,10
234405,1980,8
234409,1980,8
234411,1980,10
234429,1980,5
234432,1980,5
234435,1990,8
234436,1990,9
234437,1990,7
234443,2000,7
234450,2000,7
234453,2000,5
234456,2000,5
234457,2000,8
234463,2000,6
234465,2000,8
234467,2000,10
234469,2000,8
234474,2000,8
234481,2000,8
234489,1960,8
234490,1980,7
234493,1990,7
234497,2000,6
234504,2000,4
234510,2000,10
234511,2000,8
234516,2000,5
234519,2000,8
234533,1990,10
234534,1990,8
234538,1990,10
234540,1990,8
234547,1990,9
234551,1990,7
234552,1990,5
234559,1990,5
234565,1990,8
234568,1990,7
234575,1990,10
234580,2000,7
234585,2000,8
234590,1960,10
234594,1960,10
234595,1980,8
234596,1980,5
234602,1980,8
234605,1980,8
234607,1980,9
234610,1980,9
234614,1980,10
234617,1980,10
234619,1980,8
234625,1980,9
234626,1980,10
234627,1980,10
234636,1990,7
234640,1980,8
234645,1980,7
234654,1980,8
234662,1990,6
234663,1990,9
234667,2000,6
234671,2000,7
234673,2000,9
234676,2000,9
234677,2000,8
234684,1980,8
234685,1980,9
234687,1990,8
234688,1990,7
234689,1990,8
234706,1990,7
234712,1990,7
234719,1990,4
234720,1990,8
234721,1990,10
234724,1990,10
234729,1990,7
234746,1990,7
234761,1990,10
234770,1990,7
234782,1990,7
234788,1990,5
234791,1990,10
234792,1990,9
234794,1990,9
234803,1980,9
234804,1980,9
234810,1980,10
234813,1990,7
234818,1990,6
234852,1980,8
234854,1980,8
234871,1990,7
234886,1980,8
234888,1980,8
234889,1980,7
234892,1980,8
234903,1980,10
234904,1980,9
234907,1980,9
234909,1980,10
234910,1980,10
234929,1980,9
234930,1980,5
234934,1980,7
234935,1980,5
234937,1980,5
234938,1980,7
234941,1980,7
234943,1980,8
234944,1980,10
234945,1980,8
234949,1980,8
234951,1980,4
234957,1980,10
234958,1980,5
234961,1980,8
234963,1980,9
234965,1980,10
234968,1980,8
234969,1980,8
234971,1980,8
234973,1980,8
234979,1980,8
234983,1980,8
234985,1980,10
234987,1980,10
234988,1980,10
234997,1980,6
234999,1990,8
235004,1990,10
235006,1990,8
235007,1990,10
235013,1990,7
235014,1990,10
235017,1990,9
235018,1990,10
235020,1990,10
235026,1980,9
235031,1980,7
235037,1980,9
235038,1980,9
235041,1980,8
235043,1980,8
235044,1980,8
235046,1980,9
235047,1980,10
235048,1980,8
235050,1980,7
235051,1980,9
235059,1980,8
235061,1980,5
235062,1980,10
235065,1980,8
235068,1980,10
235071,1980,9
235073,1980,10
235075,1980,9
235081,1980,7
235083,1980,10
235087,1980,7
235089,1980,8
235097,1990,9
235100,1990,10
235101,1990,7
235102,1990,10
235112,1970,6
235115,1970,10
235116,1970,7
235117,1970,7
235118,1970,10
235122,1970,7
235123,1970,10
235124,1980,10
235129,1980,9
235133,1980,10
235137,1980,10
235139,1980,10
235142,1980,10
235145,1980,8
235148,1990,8
235161,1980,6
235169,1980,6
235172,1980,9
235173,1980,7
235175,1980,7
235179,1980,8
235187,1980,9
235188,1980,9
235190,1980,3
235199,1980,9
235207,1980,5
235208,1980,8
235212,1980,10
235215,1980,9
235217,1980,2
235220,1980,8
235224,1980,8
235231,1980,7
235235,1980,6
235240,1980,8
235243,1980,5
235248,1980,10
235256,1980,8
